"～性具～","~ Sex toys ~"
"頭にかぶって顔を隠す
装飾品　刺激的絶命剣","Put it on your head to hide your face
Accessory Exciting Desperate Sword"
"ガードの腕章","Guard armband"
"町の治安を守るガードの証
装飾品　拘束無効","Proof of guard to protect the security of the town
Accessory restraint invalid"
"ペティグリーチャーム","Petty Gree Charm"
"血統を証明する飾り　何故か犬に好かれる
装飾品　拘束/発情耐性-50％　行動追加15%","A decoration pedigree. Preferred by dogs for some reason.
Accessory resistance / Estrus resistance-50% All others 15%"
"剣のキーホルダー","Sword keychain"
"お土産屋でよく売ってるやつ　かっこいい
装飾品　","Something that sells well at trinket shops
Accessory"
"竜のキーホルダー","Dragon keychain"
"お土産屋でよく売ってるやつ　すごい
装飾品　","Something amazing that sells well at trinket shops
Accessory"
"竜剣のキーホルダー","Dragon sword key chain"
"学習机の引き出しに入ってるやつ　懐かしい
装飾品　竜気法","Something is nostalgic found in the drawer of the study desk 
Accessory Ryukiho"
"ロメリアの髪飾り","Meria hair ornament"
"大事な妹の髪飾り
装飾品　キス/誘惑耐性+50%","Important sister's hair ornament
Accessory Kiss / Temptation resistance + 50%"
"湧き上がる力","Rising Strength"
"秘められた力を解放するが1か月は重い筋肉痛になる
その他","Unleashes your hidden strength, but you'll be sore for a month.
Other"
"イージーアズパイ","Easy As Pie"
"装備中は魔物からの被ダメージが0になる
その他　取得経験値3倍","Take no damage from monsters while equipped
Other  Triples experience gained"
"ピースオブケーク","Piece Of Cake"
"魔物戦用救済装備
その他　戦闘力3倍　取得経験値1.5倍","Provides relief from battling monsters
Other  3x Combat Power  1.5x Experience gained"
"～その他～","~ Other ~"
"万華鏡","Kaleidoscope"
"覗き込む星空
その他　弾+3　ワイドショット7","Peer into a starry sky
Other  Shots +3  Wide shot 7"
"<shotWay:3>
<shotSpace:0.7>","<shotWay:3>
<shotSpace:0.7>"
"広角レンズ","Wide-Angle Lens"
"世界が広がって見える
その他　ワイドショット4","Look at the world more broadly
Other  Wide shot 4"
"<shotSpace:0.4>","<shotSpace:0.4>"
"矯正ベルト","Orthotic Belt"
"動きにくくなるがフォームが良くなる
その他　隙+20","Hard to move in, but improves your posture
Other  Delay +20"
"<shotInterval:20>","<shotInterval:20>"
"スピードアップ","Speed Up"
"武器に塗ると速度が上がる魔法の軟膏
その他　弾速+1","A magical ointment that speeds up when applied to weapons
Other  Bullet speed +1"
"<shotSpeed:0.1>","<shotSpeed:0.1>"
"照準スコープ","Super Scope"
"しっかりと狙いを定められるスコープ
その他　命中+5","Scope that enhances your aim
Other  Hit rate +5"
"大胸筋強制サポーター","Pectoralis Major Super Supporter"
"ブラのようでブラじゃないやつ
その他　隙+30　持続+10","It's like a bra, but it's definitely not a bra
Other  Delay +30  Duration +10"
"<shotInterval:30>
<shotCount:10>","<shotInterval:30>
<shotCount:10>"
"マクスエア","Max Air"
"一時期やたら流行したブランドシューズ
その他　持続+20","A brand of shoes that were popular for a while
Other  Sustain +20"
"<shotCount:20>","<shotCount:20>"
"パワードスーツ","Power Suit"
"筋肉の代わりをしてくれる補助機械
その他","Auxiliary machine that replaces muscles
Others"
"名人のお守り","Amulet of the Master"
"スイカを指で連打して割る神様の加護
その他　隙-20%","A god's blessing to break a watermelon with one finger
Other  Delay -20%"
"<shotIntervalRate:0.8>","<shotIntervalRate:0.8>"
"デグチホソナール","Narrow Scope"
"弾が散らばりにくくなる
その他　ナローショット5","Makes it harder for bullets to scatter
Other  Narrow shot 5"
"<shotSpace:-0.5>","<shotSpace:-0.5>"
"あたりくじ","Lucky Number"
"おまけにもう一発
その他　弾+1","One more as a bonus
Other  Shots +1"
"<shotWay:1>
<shotSpace:0.1>","<shotWay:1>
<shotSpace:0.1>"
"ベアストラップ","Bear Strap"
"血に濡れたクマの可愛いストラップ
その他　弾速-2","A cute, blood-soaked, bear-patterned strap
Other  Bullet speed -2"
"<shotSpeed:-0.2>","<shotSpeed:-0.2>"
"カワバタグラス","Kawabata Glasses"
"こめかみに挟むメガネ
その他　ナローショット1","Glasses held between the temples
Other  Narrow shot 1"
"<shotSpace:-0.1>","<shotSpace:-0.1>"
"精密バレル","Precision Barrel"
"弾が散らばりにくくなるバレル
その他　ナローショット3","Barrel that makes it difficult for bullets to scattered
Other  Narrow shot 3"
"<shotSpace:-0.3>","<shotSpace:-0.3>"
"アルカリ乾電池","Alkaline Batteries"
"長持ちする電池
その他　持続+60","Long-lasting batteries
Others  Sustain +60"
"<shotCount:60>","<shotCount:60>"
"島の残骸","Island Wreckage"
"丸ごと飲み込まれた誰かの夢の残骸
その他　弾速-4　持続+15","The wreckage of someone's dream that was swallowed entirely
Other  Shot speed -4  Sustain +15"
"<shotSpeed:-0.4>
<shotCount:15>","<shotSpeed:-0.4>
<shotCount:15>"
"シープのもこもこ","Sheep Fluff"
"甘い匂いのするネックウォーマー
その他　弾速-3　持続+60","A sweet smelling neck warmer
Other  Shot speed -3  Sustain +60"
"<shotSpeed:-0.3>
<shotCount:60>","<shotSpeed:-0.3>
<shotCount:60>"
"ニャントムベル","Phanto-meow Bell"
"悪夢から解放された猫の鈴
その他　弾+2　ワイドショット3　命中率-3%","A cat's bell recovered from a nightmare
Other  Shots +2  Wide shot 3  Hit rate -3%"
"<shotWay:2>
<shotSpace:0.3>","<shotWay:2>
<shotSpace:0.3>"
"戦闘指南書","Combat Manual"
"魔物の退治方法が数十通り書いてある書物
その他　持続+10　隙-10%　弾速+1","Book containing dozens of tips on defeating monsters
Other  Sustain +10  Delay -10%  Shot speed +1"
"<shotCount:10>
<shotIntervalRate:0.9>
<shotSpeed:0.1>","<shotCount:10>
<shotIntervalRate:0.9>
<shotSpeed:0.1>"
"しあわせなたまご","Happy Egg"
"持っていると経験値が増えたりする幸運のたまご
その他　隙+25%　経験値+25% アイテム入手率2倍","Lucky egg that increase experience points when held
Others  Delay +25% Experience +25%  Double item drop rate"
"<shotIntervalRate:1.25>
","<shotIntervalRate:1.25>"
"アクセラレーター ","Accelerator "
"処理速度を加速させる機械の部品
その他　隙-40%","Machine parts that accelerate processing speed
Other Delay -40%"
"<shotIntervalRate:0.6>
","<shotIntervalRate:0.6>"
"レギオン球","Legion Ball"
"多くの魂を凝縮して球状にしたもの
その他　弾+4　弾速-2　持続-20","Condensed many souls into a spherical shape
Other bullets +4 bullet speed-2 duration -20"
"<shotWay:4>
<shotSpace:0.1>
<shotSpeed:-0.2>
<shotCount:-20>","<shotWay:4>
<shotSpace:0.1>
<shotSpeed:-0.2>
<shotCount:-20>"
"ライオンハート","Lionheart"
"この世で最も勇ましい獅子の心
その他　弾+1　弾速+1　持続+20　隙-20%","The brave lion's heart in the world
Other bullets +1 bullet speed +1 duration +20 gap -20%"
"<shotWay:1>
<shotSpace:0.1>
<shotSpeed:0.1>
<shotCount:20>
<shotIntervalRate:0.80>
","<shotWay:1>
<shotSpace:0.1>
<shotSpeed:0.1>
<shotCount:20>
<shotIntervalRate:0.80>"
"らくがき","Graffiti"
"動く猫の絵
その他　弾速+3　持続-30　隙-20%","Picture of a moving cat
Other bullet speed +3 duration -30 gap -20%"
"<shotSpeed:0.3>
<shotCount:-30>
<shotIntervalRate:0.80>
","<shotSpeed:0.3>
<shotCount:-30>
<shotIntervalRate:0.80>"
"ノノの羽","Nono's wings"
"とても高い魔力が込められたふわふわな羽
その他　弾速-1 隙-60%","Fluffy feathers with very high magical power
Other bullet speed-1 gap-60%"
"<shotSpeed:-0.1>
<shotIntervalRate:0.40>
","<shotSpeed:-0.1>
<shotIntervalRate:0.40>"
"マジックコート","Magic coat"
"武器に破壊魔法をエンチャントする塗り薬
その他","An ointment that grants destructive magic on weapons
others"
"マッドハット","Mad hat"
"狂った帽子屋が作った至って普通な帽子
その他　弾+3　弾速-2　持続+30　ワイドショット6","A very ordinary hat made by a crazy hat shop
Other bullets +3 bullet speed-2 duration +30 wide shot 6"
"<shotWay:3>
<shotSpace:0.6>
<shotSpeed:-0.2>
<shotCount:20>","<shotWay:3>
<shotSpace:0.6>
<shotSpeed:-0.2>
<shotCount:20>"
"アカシックレコード","Akashic Records"
"この世界の全てを見てきた男の手記
その他　弾+10 隙+20% ワイドショット4","A memoir of a man who has seen everything in this world
Other bullets +10 gap + 20% wide shot 4"
"<shotWay:10>
<shotSpace:0.4>
<shotIntervalRate:1.20>","<shotWay:10>
<shotSpace:0.4>
<shotIntervalRate:1.20>"
"ブラックホール","Black Hole"
"光すら逃げられない重力
その他　弾+1　ナローショット7　戦闘力1.2倍","Gravity that even light cannot escape
Other bullets +1 narrow shot 7 combat power 1.2 times"
"<shotWay:1>
<shotSpace:-0.7>","<shotWay:1>
<shotSpace:-0.7>"
"カスタムパーツA","Custom Part A"
"ハンドガンを強化するパーツ
その他　弾+2","Parts to enhance the Handgun
Other  Shots +2"
"<shotWay:2>
","<shotWay:2>"
"カスタムパーツB","Custom Part B"
"ハンドガンを強化するパーツ
その他　弾+10　持続-35　ワイドショット3","Parts to enhance the Handgun
Other  Shots +10  Sustain -35  Wide shot 3"
"<shotWay:10>
<shotSpace:0.3>
<shotCount:-35>","<shotWay:10>
<shotSpace:0.3>
<shotCount:-35>"
"カスタムパーツC","Custom Part C"
"ハンドガンを強化するパーツ
その他　隙-20　持続-25","Parts to enhance the Handgun
Other  Delay -20  Sustain -25"
"<shotInterval:-20>
<shotCount:-25>","<shotInterval:-20>
<shotCount:-25>"
"エイミーの極意","Amy's secret"
"エイミー流戦闘術の奥義書
その他　戦闘力2.5倍","Amy's Mystery of Combat Techniques
Others: 2.5 times the fighting power"
"アリスリボン","Alice Ribbon"
"不思議な布で作られた不思議なリボン
その他　戦闘力1.5倍　隙-20%","A mysterious ribbon made of a mysterious cloth
Others: Combat power 1.5 times, gap -20%"
"<shotIntervalRate:0.80>","<shotIntervalRate:0.80>"
"ピラティスリング","Pilates ring"
"ぐっと強く押し込むと黄色い空気砲が出る
その他　戦闘力1.3倍","If you push it hard, a yellow air cannon will come out.
Others: Combat power 1.3 times"
"リリマガジン","Lili Magazine"
"撃たれると血管の中が沸騰する　カスタムパーツ
その他　弾+10　隙-23　持続-20","His custom parts that boil inside the blood vessels when shot
Other bullets +10 gap-23 duration -20"
"<shotInterval:-23>
<shotWay:10>
<shotCount:-20>","<shotInterval:-23>
<shotWay:10>
<shotCount:-20>"
"ブルーバレット","Blue bullet"
"撃たれると血管の中が沸騰する　カスタムパーツ
その他　弾+5　隙-20　持続-35　ワイドショット1","His custom parts that boil inside the blood vessels when shot
Other bullets +5 gap-20 duration -35 wide shot 1"
"<shotInterval:-20>
<shotWay:5>
<shotSpace:0.1>
<shotCount:-35>","<shotInterval:-20>
<shotWay:5>
<shotSpace:0.1>
<shotCount:-35>"
"●","●"
"●
その他　戦闘力1.7倍","●
Others: 1.7 times the fighting power"
"メイドの土産","Maid's Souvenir"
"ティッキが研究所から横領した加速装置
その他　隙-40%","An accelerator that Tikki swiped from the lab.
Other  Delay -40%"
"プラスショット","Plus shot"
"ショットの弾がひとつ増える
その他　弾+1","One more shot bullet
Other  Shots +1"
